pollutant,cause,health_outcome,reference,og_significant,value_usd
NO2,asthma,incidence,khreis_2017,41,46675
NO2,asthma,ed_visits,zheng_2021,3,2106
PM25,asthma,incidence,khreis_2017,33,38016
NO2,all_cause,mortality,kasdagli_2024,128,289866076
NO2,copd,mortality,kasdagli_2024,2,5479504
NO2,cvd,mortality,kasdagli_2024,45,100899778
NO2,ihd,mortality,kasdagli_2024,29,65538108
PM25,all_cause,mortality,eschif+fusion,113,254539638
PM25,all_cause,mortality,orellano_2024,116,261785508
PM25,cvd,mortality,orellano_2024,51,115055942
NO2,asthma,ed_visits,zheng_2021,3,2438
NO2,cvd,ed_visits,ugalde_2022_lag0,24,225909
NO2,cvd,ed_visits,ugalde_2022_lagmax,32,295743
NO2,cvd,ed_visits,ugalde_2022_lagmean,32,295743
PM25,asthma,ed_visits,ru_2023,4,3278
PM25,cvd,ed_visits,ugalde_2022_lag0,19,176736
PM25,cvd,ed_visits,ugalde_2022_lagmax,29,268557
PM25,cvd,ed_visits,ugalde_2022_lagmean,25,229154
