pollutant,cause,health_outcome,age_group,reference,crf_type,og_full,og_significant,n_sig_munis,total_burden,og_share_of_total_pct
NO2,asthma,incidence,less20,khreis_2017,lineal,-1.24306306403608,40.5865492278126,813,7632.85022112795,0.531735171685512
NO2,asthma,ed_visits,less20,zheng_2021,lineal,-0.69827988918841,2.64898541684832,813,566.740681809107,0.467406964397267
PM25,asthma,incidence,less20,khreis_2017,lineal,23.3164222564625,33.0572955393804,965,21406.2629736125,0.154428148342054
NO2,all_cause,mortality,plus25,kasdagli_2024,lineal,-63.8694723715074,128.259325571418,813,31524.9173660253,0.406850632096007
NO2,copd,mortality,plus25,kasdagli_2024,lineal,-2.40448173276851,2.42455924465589,813,763.012709744554,0.317761318218094
NO2,cvd,mortality,plus25,kasdagli_2024,lineal,-15.6804988799878,44.645919632704,813,10026.555624777,0.445276736134367
NO2,ihd,mortality,plus25,kasdagli_2024,lineal,-6.75817673913706,28.9991626884518,813,5971.04282488802,0.485663284268868
PM25,all_cause,mortality,plus25,eschif+fusion,non-linear,30.2830230607218,112.628158413271,965,78321.7650086637,0.143801864527456
PM25,all_cause,mortality,plus25,orellano_2024,lineal,76.6004641965119,115.834295486407,965,75961.1337746487,0.152491530510916
PM25,cvd,mortality,plus25,orellano_2024,lineal,35.9028416272703,50.9097090137129,965,31576.4784384285,0.161226683694265
NO2,asthma,ed_visits,total,zheng_2021,lineal,-1.36633912064012,3.06707766980074,813,650.71157850013,0.471342107799935
NO2,cvd,ed_visits,total,ugalde_2022_lag0,lineal,-5.9925273942685,24.2913294371461,813,3657.3466442549,0.664179029223383
NO2,cvd,ed_visits,total,ugalde_2022_lagmax,lineal,-7.74283931544131,31.8003136745468,813,4762.89943151125,0.667667124444336
NO2,cvd,ed_visits,total,ugalde_2022_lagmean,lineal,-7.74283931544131,31.8003136745468,813,4762.89943151125,0.667667124444336
PM25,asthma,ed_visits,total,ru_2023,lineal,2.22335395455137,4.12283732671497,965,2451.78629014666,0.168156472009163
PM25,cvd,ed_visits,total,ugalde_2022_lag0,lineal,9.46355032422124,19.0038212930153,965,8750.66952337837,0.217169911882108
PM25,cvd,ed_visits,total,ugalde_2022_lagmax,lineal,13.8721759339556,28.8770504087817,965,13445.8249538649,0.214765925540933
PM25,cvd,ed_visits,total,ugalde_2022_lagmean,lineal,12.0247234182271,24.640266267606,965,11417.5250001151,0.215810924586174
